iter	Passed	Remaining
1088	45398	37977
1089	45438	37935
1090	45479	37892
1091	45519	37849
1092	45560	37807
1093	45612	37774
1094	45653	37731
1095	45696	37690
1096	45737	37648
1097	45777	37605
1098	45817	37562
1099	45856	37519
1100	45896	37476
1101	45939	37435
1102	45979	37392
1103	46021	37350
1104	46060	37306
1105	46100	37263
1106	46142	37222
1107	46183	37180
1108	46232	37144
1109	46274	37102
1110	46314	37059
1111	46357	37019
1112	46400	36978
1113	46441	36936
1114	46482	36893
1115	46524	36852
1116	46566	36811
1117	46608	36770
1118	46648	36726
1119	46686	36682
1120	46725	36638
1121	46767	36596
1122	46811	36557
1123	46851	36514
1124	46891	36471
1125	46934	36430
1126	46974	36387
1127	47013	36343
1128	47053	36300
1129	47096	36260
1130	47136	36217
1131	47176	36174
1132	47217	36131
1133	47267	36096
1134	47306	36053
1135	47346	36010
1136	47387	35968
1137	47428	35925
1138	47469	35883
1139	47510	35841
1140	47550	35798
1141	47591	35755
1142	47631	35713
1143	47671	35670
1144	47711	35627
1145	47752	35585
1146	47791	35541
1147	47838	35504
1148	47877	35460
1149	47918	35418
1150	47957	35374
1151	47996	35330
1152	48036	35287
1153	48075	35244
1154	48114	35200
1155	48154	35157
1156	48193	35113
1157	48236	35073
1158	48275	35029
1159	48316	34988
1160	48362	34949
1161	48404	34907
1162	48444	34864
1163	48482	34820
1164	48523	34778
1165	48563	34735
1166	48602	34692
1167	48643	34650
1168	48683	34607
1169	48723	34564
1170	48762	34520
1171	48807	34482
1172	48849	34440
1173	48889	34397
1174	48930	34355
1175	48972	34314
1176	49012	34271
1177	49053	34229
1178	49096	34188
1179	49134	34144
1180	49174	34101
1181	49213	34058
1182	49255	34016
1183	49307	33982
1184	49364	33950
1185	49404	33908
1186	49443	33865
1187	49483	33822
1188	49523	33779
1189	49560	33734
1190	49603	33693
1191	49644	33651
1192	49682	33607
1193	49722	33564
1194	49763	33522
1195	49804	33480
1196	49844	33438
1197	49884	33395
1198	49925	33352
1199	49964	33309
1200	50007	33269
1201	50055	33231
1202	50095	33188
1203	50132	33144
1204	50179	33105
1205	50219	33063
1206	50259	33020
1207	50299	32977
1208	50339	32935
1209	50379	32892
1210	50420	32850
1211	50465	32811
1212	50506	32768
1213	50547	32726
1214	50587	32684
1215	50627	32641
1216	50665	32597
1217	50707	32555
1218	50748	32513
1219	50789	32471
1220	50830	32430
1221	50872	32388
1222	50915	32347
1223	50959	32307
1224	50999	32265
1225	51040	32222
1226	51079	32179
1227	51118	32136
1228	51158	32093
1229	51197	32050
1230	51238	32008
1231	51277	31965
1232	51317	31922
1233	51358	31880
1234	51397	31837
1235	51436	31794
